#Organism/Name	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center
Campylobacter jejuni subsp. jejuni DFVF1099	PRJNA41639	41639	Proteobacteria	delta/epsilon subdivisions	1.73386	30.4	-	-	-	-	ADHK01	71	1964	1920	2011/01/03	2011/09/16	Scaffolds or contigs	Faculty of Life Sciences, Department of Food Science, University of Copenhagen
Campylobacter jejuni subsp. jejuni 305	PRJNA41641	41641	Proteobacteria	delta/epsilon subdivisions	1.80827	30.4	-	-	-	-	ADHL01	333	2268	2138	2011/01/03	2011/09/16	Scaffolds or contigs	Faculty of Life Sciences, Department of Food Science, University of Copenhagen
Campylobacter jejuni subsp. jejuni 327	PRJNA41643	41643	Proteobacteria	delta/epsilon subdivisions	1.61861	30.5	-	-	-	-	ADHM01	48	1786	1711	2011/01/03	2011/05/12	Scaffolds or contigs	Faculty of Life Sciences, Department of Food Science, University of Copenhagen
Campylobacter jejuni subsp. jejuni 414	PRJNA43389	43389	Proteobacteria	delta/epsilon subdivisions	1.71012	30	NZ_CM000855.1	CM000855.1	-	-	ADGM01	1	1840	1800	2010/01/12	2010/06/16	Complete	University of Liverpool
Campylobacter jejuni subsp. jejuni 1336	PRJNA43391	43391	Proteobacteria	delta/epsilon subdivisions	1.70283	30.5	NZ_CM000854.1	CM000854.1	-	-	ADGL01	1	1801	1756	2010/01/12	2010/06/16	Complete	University of Liverpool
Campylobacter jejuni subsp. jejuni P110B	PRJNA52015	52015	Proteobacteria	delta/epsilon subdivisions	1.65634	30.6	-	-	-	-	AEIO01	29	-	-	2012/01/11	2012/01/11	Scaffolds or contigs	Institute of Veterinary, Animal and Biomedical Sciences,  Massey University
Campylobacter jejuni subsp. jejuni H22082	PRJNA52017	52017	Proteobacteria	delta/epsilon subdivisions	1.65912	30.6	-	-	-	-	AEIP01	28	-	-	2012/01/11	2012/01/11	Scaffolds or contigs	Institute of Veterinary, Animal and Biomedical Sciences,  Massey University
Campylobacter jejuni subsp. jejuni 129-258	PRJNA52847	52847	Proteobacteria	delta/epsilon subdivisions	1.60816	30.5	-	-	-	-	AINY01	-	1713	1679	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 110-21	PRJNA52849	52849	Proteobacteria	delta/epsilon subdivisions	1.61923	30.5	-	-	-	-	AIPC01	-	1731	1697	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 140-16	PRJNA52853	52853	Proteobacteria	delta/epsilon subdivisions	1.6782	30.3	-	-	-	-	AIPF01	-	1817	1783	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 51494	PRJNA52857	52857	Proteobacteria	delta/epsilon subdivisions	1.80364	30.2	-	-	-	-	AINZ01	-	2009	1975	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 60004	PRJNA52859	52859	Proteobacteria	delta/epsilon subdivisions	1.67541	30.3	-	-	-	-	AIOE01	-	1805	1771	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 55037	PRJNA52861	52861	Proteobacteria	delta/epsilon subdivisions	1.58972	30.5	-	-	-	-	AIOH01	-	1700	1666	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 86605	PRJNA52863	52863	Proteobacteria	delta/epsilon subdivisions	1.6384	30.4	-	-	-	-	AIOJ01	-	1730	1697	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 53161	PRJNA52865	52865	Proteobacteria	delta/epsilon subdivisions	1.56274	30.5	-	-	-	-	AION01	-	1689	1652	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1997-1	PRJNA52867	52867	Proteobacteria	delta/epsilon subdivisions	1.6043	30.4	-	-	-	-	AIOT01	-	1727	1693	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1997-4	PRJNA52869	52869	Proteobacteria	delta/epsilon subdivisions	1.67022	30.4	-	-	-	-	AIOW01	-	1770	1736	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1997-7	PRJNA52871	52871	Proteobacteria	delta/epsilon subdivisions	1.58976	30.4	-	-	-	-	AIOX01	-	1683	1649	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1997-10	PRJNA52873	52873	Proteobacteria	delta/epsilon subdivisions	1.78075	30.2	-	-	-	-	AIOY01	-	1948	1916	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1997-11	PRJNA52875	52875	Proteobacteria	delta/epsilon subdivisions	1.60176	30.5	-	-	-	-	AIOZ01	-	1718	1684	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
